Date,Rate,Source,Daily_Return,Log_Return,SMA_Short,SMA_Long,Rolling_Volatility_Annualized,Signal,Position_Change,Strategy_Position,Strategy_Daily_Return,Trade_Executed,Strategy_Equity,BuyHold_Equity
2021-05-18,10566.11,CBU.uz (official),0.0014472781314094352,0.001446231833815364,10522.764500000001,10509.153,0.014649943191872915,1,False,1.0,0.0014472781314094352,False,9984.28664293457,10042.41798682315
2021-05-19,10577.0,CBU.uz (official),0.0010306536653508225,0.0010301229065162593,10525.8625,10510.9638,0.013737976182954092,1,False,1.0,0.0010306536653508225,False,9994.576984559026,10052.768241730253
2021-05-20,10586.0,CBU.uz (official),0.0008509029025243198,0.0008505410898799634,10529.707,10513.1842,0.013481435573854813,1,False,1.0,0.0008509029025243198,False,10003.081399124689,10061.322171405545
2021-05-21,10597.75,CBU.uz (official),0.0011099565463819072,0.0011093410000588206,10534.139,10515.426000000001,0.013657543807974676,1,False,1.0,0.0011099565463819072,False,10014.184384807639,10072.489801814954
2021-05-22,10597.75,CBU.uz (official),0.0,0.0,10538.571,10517.9308,0.013657543807974676,1,False,1.0,0.0,False,10014.184384807639,10072.489801814954
2021-05-23,10597.75,CBU.uz (official),0.0,0.0,10542.308500000001,10520.4356,0.013301866338193113,1,False,1.0,0.0,False,10014.184384807639,10072.489801814954
2021-05-24,10578.28,CBU.uz (official),-0.001837182420796779,-0.0018388721102494108,10545.0975,10522.551000000001,0.01537441023953088,1,False,1.0,-0.001837182420796779,False,9995.786501297252,10053.984800617405
2021-05-25,10596.76,CBU.uz (official),0.0017469758788764,0.001745451691403358,10549.238500000001,10525.0328,0.015676047049958036,1,False,1.0,0.0017469758788764,False,10013.248899205419,10071.548869550676
2021-05-26,10601.54,CBU.uz (official),0.0004510812738989234,0.00045097956732523004,10554.2545,10527.404199999999,0.01448746406404649,1,False,1.0,0.0004510812738989234,False,10017.765688274738,10076.091956644888
2021-05-27,10609.91,CBU.uz (official),0.0007895079394124593,0.0007891964419616197,10560.076,10530.241199999999,0.013788835730162067,1,False,1.0,0.0007895079394124593,False,10025.674793820805,10084.04711124291
2021-05-28,10589.03,CBU.uz (official),-0.0019679714531036785,-0.0019699104532727514,10564.8535,10532.437,0.01636333332821628,1,False,1.0,-0.0019679714531036785,False,10005.944552028464,10064.20199439623
2021-05-29,10589.03,CBU.uz (official),0.0,0.0,10569.631,10534.756199999998,0.01636333332821628,1,False,1.0,0.0,False,10005.944552028464,10064.20199439623
2021-05-30,10589.03,CBU.uz (official),0.0,0.0,10573.4905,10537.0754,0.015690415927140097,1,False,1.0,0.0,False,10005.944552028464,10064.20199439623
2021-05-31,10580.65,CBU.uz (official),-0.000791385046600257,-0.0007916983570566275,10576.0365,10539.226999999999,0.015368366506085567,1,False,1.0,-0.000791385046600257,False,9998.02599713288,10056.237335431899
2021-06-01,10568.21,CBU.uz (official),-0.001175731169635208,-0.0011764228837598933,10577.314,10541.0328,0.015687583690653397,1,False,1.0,-0.001175731169635208,False,9986.271006333225,10044.413903747381
2021-06-02,10559.82,CBU.uz (official),-0.0007938903560772426,-0.0007942056539116301,10578.172,10542.721000000001,0.016018746184696144,1,False,1.0,-0.0007938903560772426,False,9978.343002088124,10036.439740416748
2021-06-03,10550.74,CBU.uz (official),-0.0008598631416065761,-0.0008602330359719442,10578.576,10543.8886,0.01636404912708293,1,False,1.0,-0.0008598631416065761,False,9969.76299272632,10027.809775811009
2021-06-04,10539.2,CBU.uz (official),-0.0010937621436979406,-0.0010943607380311216,10578.403000000002,10544.7328,0.016851757609741256,1,False,1.0,-0.0010937621436979406,False,9958.858443383237,10016.841737094024
2021-06-05,10539.2,CBU.uz (official),0.0,0.0,10578.23,10545.3676,0.016851757609741256,1,False,1.0,0.0,False,9958.858443383237,10016.841737094024
2021-06-06,10539.2,CBU.uz (official),0.0,0.0,10577.648000000001,10546.0024,0.016591297001769652,1,False,1.0,0.0,False,9958.858443383237,10016.841737094024
2021-06-07,10547.56,CBU.uz (official),0.0007932290875967141,0.0007929146476749505,10576.7205,10546.804399999999,0.015956286355822368,1,False,1.0,0.0007932290875967141,False,9966.758099579785,10024.78738732574
2021-06-08,10532.12,CBU.uz (official),-0.0014638456666753452,-0.0014649181354902594,10574.4765,10547.2032,0.016094320907696018,1,False,1.0,-0.0014638456666753452,False,9952.168303924915,10010.112645749461
2021-06-09,10554.96,CBU.uz (official),0.0021686042316264587,0.00216625620348616,10572.9245,10547.7896,0.017834262536514267,1,False,1.0,0.0021686042316264587,False,9973.750618222664,10031.82061839209
2021-06-10,10571.4,CBU.uz (official),0.0015575615634735307,0.0015563498225390818,10571.607,10548.4624,0.018316665529997965,1,False,1.0,0.0015575615634735307,False,9989.285348829279,10047.445796598959
2021-06-11,10588.01,CBU.uz (official),0.0015712204627580384,0.001569987387339986,10571.119999999999,10549.1824,0.01928127335887579,1,False,1.0,0.0015712204627580384,False,10004.980718377687,10063.232549033028
2021-06-12,10588.01,CBU.uz (official),0.0,0.0,10570.633,10550.2378,0.01928127335887579,1,False,1.0,0.0,False,10004.980718377687,10063.232549033028
2021-06-13,10588.01,CBU.uz (official),0.0,0.0,10571.1195,10551.2932,0.01808228836826768,1,False,1.0,0.0,False,10004.980718377687,10063.232549033028
2021-06-14,10597.04,CBU.uz (official),0.0008528514801176001,0.0008524880089373061,10571.1335,10552.5292,0.017225353146684445,1,False,1.0,0.0008528514801176001,False,10013.513480991905,10071.814991807238
2021-06-15,10609.0,CBU.uz (official),0.0011286170477793345,0.00112798063835574,10571.5065,10553.918800000001,0.017623000784267203,1,False,1.0,0.0011286170477793345,False,10024.81490301472,10083.18221390907
2021-06-16,10616.02,CBU.uz (official),0.0006617023282118328,0.000661483499753798,10571.812000000002,10555.2756,0.0175562123904023,1,False,1.0,0.0006617023282118328,False,10031.448346375937,10089.854279055797
2021-06-17,10590.46,CBU.uz (official),-0.002407681974977538,-0.0024105851020311325,10571.8835,10556.4946,0.018274394641178762,1,False,1.0,-0.002407681974977538,False,10007.295809009449,10065.561118777963
2021-06-18,10581.03,CBU.uz (official),-0.0008904240231301097,-0.0008908206860835555,10571.4835,10557.814400000001,0.018550412837686877,1,False,1.0,-0.0008904240231301097,False,9998.385072414538,10056.598501351518
2021-06-19,10581.03,CBU.uz (official),0.0,0.0,10571.0835,10559.2528,0.018550412837686877,1,False,1.0,0.0,False,9998.385072414538,10056.598501351518
